Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;12;8;6;4;4;1;2;1;3;5;2;3;5;5;1;0;1;2;3;0;2;2;0;4;12.879999999999999
C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;17;20;9;5;5;2;2;1;4;7;6;1;4;1;0;0;8;1;6;2;2;6;4;-3;17.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS;18;12;9;5;2;0;13;8;2;11;4;7;4;3;1;1;5;7;2;2;2;1;1;6;13.719999999999999
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;10;4;7;3;1;0;5;4;0;8;3;5;3;2;1;1;4;3;1;0;2;1;1;6;8.2
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;19;10;11;5;3;1;9;6;2;13;6;7;4;3;1;2;6;6;3;0;4;3;2;9;14.959999999999997
C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;10;4;7;3;1;0;5;4;0;8;3;5;3;2;1;1;4;3;1;0;2;1;1;6;8.2
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - P. CRUZ URBANEJA;19;13;7;6;4;1;8;4;3;8;4;4;1;2;1;0;2;4;2;3;0;1;4;6;11.52
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;8;8;2;2;1;0;8;4;2;3;1;2;1;1;0;0;1;4;1;2;0;0;0;0;5.52
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;15;15;5;4;2;1;12;4;4;5;2;3;3;1;0;0;3;6;4;2;1;2;1;0;12.28
C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;8;8;2;2;1;0;8;4;2;3;1;2;1;1;0;0;1;4;1;2;0;0;0;0;5.52
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
