Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;31;20;12;9;5;3;6;4;5;11;8;3;2;1;2;0;3;4;6;2;2;3;7;11;18.64
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;31;20;11;9;10;4;1;1;6;8;4;4;4;9;1;0;8;2;6;1;5;4;3;11;21.439999999999998
A. PUIG LLUCH - D. FERRERAS CAMARERO - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - O. FILBA GONZALEZ;12;5;5;4;3;1;1;1;4;5;2;3;0;1;0;0;5;0;1;0;3;0;1;7;5.44
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;104;88;62;35;36;9;15;7;32;58;38;20;25;13;6;2;29;22;21;8;22;36;27;16;109.59
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;12;5;5;4;3;1;1;1;4;5;2;3;0;1;0;0;5;0;1;0;3;0;1;7;5.44
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - N. KUSTURICA;0;0;1;0;0;0;0;0;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - N. KUSTURICA;16;12;6;4;2;1;6;5;2;8;7;1;2;0;1;0;1;5;4;1;1;1;2;4;11.64
J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA;55;41;28;21;11;1;16;10;10;32;23;9;7;8;2;0;9;11;14;3;4;8;8;14;44.04
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. SIFTAR;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR;22;12;7;6;7;3;2;1;2;5;3;2;3;5;1;0;1;4;6;0;0;2;2;10;15.879999999999999
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;35;22;11;9;8;4;6;5;4;9;7;2;4;5;2;0;2;7;9;1;1;3;4;13;23.639999999999997
J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;66;44;24;14;23;10;16;8;12;33;21;12;14;7;3;0;6;16;19;1;3;12;12;22;56.03
E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA;8;1;3;1;4;1;6;3;1;8;5;3;0;2;0;1;2;3;0;0;1;4;1;7;6.64
J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;42;29;20;13;18;3;9;7;12;26;15;11;9;5;2;1;10;9;8;3;4;12;5;13;39.96
E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;-2;1.0
E. DESTOM ALGER - N. KUSTURICA - P. CRUZ URBANEJA;16;12;6;4;2;1;8;5;2;5;5;0;1;0;1;0;1;4;4;1;1;3;2;4;12.52
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS;10;13;4;0;5;3;2;1;2;10;7;3;3;1;0;1;2;3;4;1;2;4;7;-3;9.879999999999999
