Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;5;13;2;1;2;1;0;0;1;3;3;0;3;0;0;0;5;0;4;1;2;2;1;-8;7.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;4;5;5;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;2;1;-1;4.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;-2;2.0
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA;3;0;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;4.0
C. GAYE - E. DESTOM ALGER - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1.0
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA;2;0;2;1;1;0;0;0;1;3;2;1;1;1;0;0;0;1;0;0;0;1;0;2;3.0
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;17;15;8;7;3;0;6;3;4;8;6;2;1;2;0;0;4;2;5;1;2;3;3;2;12.64
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;16;7;9;7;2;0;4;2;3;7;5;2;0;4;1;0;0;3;2;1;0;1;1;9;10.76
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;31;19;24;12;8;2;2;1;8;26;16;10;8;3;4;0;11;13;6;1;4;9;5;12;30.88
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;18;9;2;2;4;3;6;5;5;6;5;1;2;0;0;0;1;4;4;0;1;0;2;9;9.64
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA;6;4;4;3;2;0;0;0;2;2;0;2;4;1;0;0;1;1;1;0;2;1;0;2;8.0
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1.0
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.88
C. GAYE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;8;3;3;3;2;0;2;2;0;5;3;2;1;1;1;0;0;0;0;1;0;0;1;5;4.88
C. GAYE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;2;6;2;1;1;0;0;0;2;1;1;0;3;3;1;0;1;0;3;0;0;2;3;-4;6.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0.44
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;16;8;6;5;4;2;0;0;1;3;2;1;0;4;1;0;1;2;4;0;0;2;2;8;9.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;6;4;4;3;3;0;0;0;2;5;4;1;1;0;0;0;1;1;0;1;1;3;0;2;7.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;11;10;4;1;7;3;2;0;2;9;7;2;3;0;0;0;2;1;4;0;2;6;3;1;12.87
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ;10;12;5;2;5;2;0;0;4;3;1;2;0;2;0;0;2;4;2;1;5;4;3;-2;8.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;15;13;6;5;3;1;4;2;2;3;1;2;1;2;0;0;4;2;5;0;3;2;2;2;9.76
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;0;4;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;2;0;0;1;0;-4;2.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;11;9;8;5;4;0;3;1;3;4;3;1;2;3;0;0;2;3;1;2;1;7;4;2;14.32
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA;18;5;4;3;8;4;0;0;4;6;4;2;0;0;0;0;3;1;1;1;0;3;2;13;10.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;13;10;4;3;1;1;4;4;2;4;4;0;1;0;1;0;1;3;3;1;1;1;2;3;7.76
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;3;2;1;1;1;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2.88
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;6;0;2;1;3;1;2;1;1;5;3;2;0;1;0;0;1;1;0;0;0;2;1;6;3.88
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;4;0;2;2;2;0;0;0;0;2;1;1;1;1;0;0;2;0;0;0;0;1;0;4;4.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;0;4;0;0;2;0;0;0;0;2;1;1;1;0;0;0;1;0;2;0;0;1;0;-4;2.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;30;19;11;8;9;3;6;5;6;14;7;7;3;2;1;0;0;4;7;1;2;3;1;11;18.64
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;6;3;1;1;4;1;3;1;1;5;3;2;1;0;0;0;0;3;0;1;0;1;0;3;5.32
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;2;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;2;1.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA;10;10;4;3;5;1;3;1;3;9;5;4;3;0;1;0;3;3;3;1;1;2;2;0;9.32
